Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA ILX	2	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXV02.0JA3	small car	5	24	35	28	7	No	316
ACURA ILX	2	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXV02.0JA3	small car	6	24	35	28	7	Yes	316
ACURA ILX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXV02.4KA3	small car	5	22	31	25	6	No	350
ACURA ILX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXV02.4KA3	small car	6	22	31	25	6	No	350
ACURA MDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXV03.5XA4	small SUV	5	18	27	21	5	No	416
ACURA MDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXV03.5XA4	small SUV	6	18	27	21	5	No	416
ACURA MDX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXV03.5XA4	small SUV	5	20	28	23	5	No	387
ACURA MDX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXV03.5XA4	small SUV	6	20	28	23	5	No	387
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXT03.5EV3	small SUV	5	19	27	22	5	No	399
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXT03.5EV3	small SUV	6	19	27	22	5	No	399
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXT03.5EV3	small SUV	5	20	28	23	5	No	385
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXT03.5EV3	small SUV	6	20	28	23	5	No	385
ACURA RLX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXV03.5XA4	midsize car	5	20	31	24	6	No	378
ACURA RLX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXV03.5XA4	midsize car	6	20	31	24	6	No	378
ACURA TLX	2.4	4	AutoMan-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXJ02.42A3	small car	5	24	35	28	7	No	316
ACURA TLX	2.4	4	AutoMan-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	FHNXJ02.42A3	small car	6	24	35	28	7	Yes	316
ACURA TLX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	FHNXV03.5WA4	small car	5	21	31	25	6	No	357
