Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
ACURA MDX	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXT03.7W19	SUV	7	16	21	18	4	no
ACURA MDX	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXT03.7W19	SUV	6	16	21	18	4	no
ACURA RDX	2.3	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXT02.3Y19	SUV	7	19	24	21	5	no
ACURA RDX	2.3	4	SemiAuto-5	4WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXT02.3Y19	SUV	7	17	22	19	4	no
ACURA RDX	2.3	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXT02.3Y19	SUV	6	19	24	21	5	no
ACURA RDX	2.3	4	SemiAuto-5	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXT02.3Y19	SUV	6	17	22	19	4	no
ACURA RL	3.7	6	SemiAuto-5	4WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV03.7PB9	midsize car	7	16	22	18	4	no
ACURA RL	3.7	6	SemiAuto-5	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV03.7PB9	midsize car	6	16	22	18	4	no
ACURA TL	3.5	6	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV03.5QB9	midsize car	7	18	26	21	5	no
ACURA TL	3.7	6	SemiAuto-5	4WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV03.7RB9	midsize car	7	17	25	20	5	no
ACURA TL	3.7	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV03.7RB9	midsize car	7	17	25	20	5	no
ACURA TL	3.5	6	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV03.5QB9	midsize car	6	18	26	21	5	no
ACURA TL	3.7	6	SemiAuto-5	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV03.7RB9	midsize car	6	17	25	20	5	no
ACURA TL	3.7	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV03.7RB9	midsize car	6	17	25	20	5	no
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV02.4SB9	small car	7	20	28	23	6	yes
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV02.4SB9	small car	7	21	30	25	7	yes
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV03.5QB9	small car	7	18	27	21	5	no
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV02.4SB9	small car	6	20	28	23	6	no
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV02.4SB9	small car	6	21	30	25	7	yes
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV03.5QB9	small car	6	18	27	21	5	no
ACURA ZDX	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AHNXV03.7PB9	SUV	7	16	23	19	4	no
ACURA ZDX	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AHNXV03.7PB9	SUV	6	16	23	19	4	no
ASTON MARTIN DB9	5.9	12	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AASXV05.9VH1	small car	6	11	17	13	0	no
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AASXV05.9VH1	small car	6	13	20	15	2	no
ASTON MARTIN DB9	5.9	12	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	AASXV05.9VH1	small car	6	11	17	13	0	no
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	AASXV05.9VH1	small car	6	13	20	15	2	no
ASTON MARTIN DBS	5.9	12	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AASXV05.9VH1	small car	6	11	17	13	0	no
ASTON MARTIN DBS	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AASXV05.9VH1	small car	6	12	18	14	1	no
ASTON MARTIN DBS	5.9	12	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	AASXV05.9VH1	small car	6	11	17	13	0	no
ASTON MARTIN DBS	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	AASXV05.9VH1	small car	6	12	18	14	1	no
ASTON MARTIN Rapide	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AASXV05.9VH1	small car	6	13	19	15	2	no
ASTON MARTIN Rapide	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	AASXV05.9VH1	small car	6	13	19	15	2	no
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AASXV04.7VH2	small car	6	12	19	14	1	no
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AASXV04.7VH2	small car	6	14	20	16	3	no
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	AASXV04.7VH2	small car	6	12	19	14	1	no
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-6	2WD	Gasoline	CA	L2	California LEV-II LEV	AASXV04.7VH2	small car	6	14	20	16	3	no
AUDI A3	2	4	Man-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	AADXV02.03PA	station wagon	9.5	21	30	24	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	AADXV02.03PA	station wagon	9.5	22	28	24	7	yes
AUDI A3	2	4	Man-6	2WD	Gasoline	FA	B3	Federal Tier 2 Bin 3	AADXV02.03PA	station wagon	8	21	30	24	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Gasoline	FA	B3	Federal Tier 2 Bin 3	AADXV02.03PA	station wagon	8	22	28	24	7	yes
AUDI A3	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UA	station wagon	7	21	28	24	7	yes
AUDI A3	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UA	station wagon	7	21	30	24	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UA	station wagon	7	22	28	24	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Diesel	CA	U2	California LEV-II ULEV	AVWXV02.0U5N	station wagon	7	30	42	34	8	yes
AUDI A3	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UA	station wagon	6	21	28	24	7	yes
AUDI A3	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UA	station wagon	6	21	30	24	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UA	station wagon	6	22	28	24	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Diesel	FA	B5	Federal Tier 2 Bin 5	AVWXV02.0U5N	station wagon	6	30	42	34	8	yes
AUDI A4	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	small car	7	21	27	23	6	yes
AUDI A4	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	small car	7	22	30	25	7	yes
AUDI A4	2	4	CVT	2WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	small car	7	23	30	26	7	yes
AUDI A4	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	small car	6	21	27	23	6	no
AUDI A4	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	small car	6	22	30	25	7	yes
AUDI A4	2	4	CVT	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	small car	6	23	30	26	7	yes
AUDI A4 Avant	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	station wagon	7	21	27	23	6	yes
AUDI A4 Avant	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	station wagon	6	21	27	23	6	no
AUDI A5	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	small car	7	21	27	23	6	yes
AUDI A5	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	small car	7	22	30	25	7	yes
AUDI A5	3.2	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXJ03.23UC	small car	7	18	27	21	5	no
AUDI A5	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	small car	6	21	27	23	6	no
AUDI A5	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	small car	6	22	30	25	7	yes
AUDI A5	3.2	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXJ03.23UC	small car	6	18	27	21	5	no
AUDI A5 Cabriolet	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	small car	7	20	26	23	6	yes
AUDI A5 Cabriolet	2	4	CVT	2WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV02.03UB	small car	7	23	30	26	7	yes
AUDI A5 Cabriolet	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	small car	6	20	26	23	6	no
AUDI A5 Cabriolet	2	4	CVT	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV02.03UB	small car	6	23	30	26	7	yes
AUDI A6	3	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV03.03UF	midsize car	7	18	26	21	5	no
AUDI A6	3.2	6	CVT	2WD	Gasoline	CA	U2	California LEV-II ULEV	AADXJ03.23UC	midsize car	7	18	28	22	6	yes
AUDI A6	3	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV03.03UF	midsize car	6	18	26	21	5	no
AUDI A6	3.2	6	CVT	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXJ03.23UC	midsize car	6	18	28	22	6	no
AUDI A6	4.2	8	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A6	4.2	8	SemiAuto-6	4WD	Gasoline	CA	L2	California LEV-II LEV	AADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A6 Avant	3	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXV03.03UF	station wagon	7	18	26	21	5	no
AUDI A6 Avant	3	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV03.03UF	station wagon	6	18	26	21	5	no
AUDI A8	4.2	8	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A8	4.2	8	SemiAuto-6	4WD	Gasoline	CA	L2	California LEV-II LEV	AADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A8 L	4.2	8	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXV04.2365	large car	6	16	23	18	4	no
AUDI A8 L	4.2	8	SemiAuto-6	4WD	Gasoline	CA	L2	California LEV-II LEV	AADXV04.2365	large car	6	16	23	18	4	no
AUDI Q5	3.2	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXJ03.23UC	SUV	7	18	23	20	5	no
AUDI Q5	3.2	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	AADXJ03.23UC	SUV	6	18	23	20	5	no
AUDI Q7	3	6	SemiAuto-6	4WD	Diesel	CA	U2	California LEV-II ULEV	AADXT03.03LD	SUV	7	17	25	20	4	no
AUDI Q7	3.6	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AVWXT03.6U76	SUV	7	14	19	16	3	no
AUDI Q7	4.2	8	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	AADXT04.23UD	SUV	7	13	18	15	2	no
AUDI Q7	3	6	SemiAuto-6	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	AADXT03.03LD	SUV	6	17	25	20	4	no
