Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA ILX	1.5	4	SCV-7	2WD	Gasoline	FC	B3	Federal Tier 2 Bin 3	DHNXV01.5WF2	small car	7	39	38	38	9	Yes	228
ACURA ILX	1.5	4	SCV-7	2WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	DHNXV01.5YD2	small car	8	39	38	38	9	Yes	228
ACURA ILX	1.5	4	SCV-7	2WD	Gasoline	CA	PZEV	California PZEV	DHNXV01.5YD2	small car	9	39	38	38	9	Yes	228
ACURA ILX	2	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV02.0CB2	small car	5	24	35	28	7	No	318
ACURA ILX	2	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV02.0CB2	small car	6	24	35	28	7	Yes	318
ACURA ILX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV02.4MB3	small car	5	22	31	25	6	No	361
ACURA ILX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV02.4MB3	small car	6	22	31	25	6	No	361
ACURA MDX	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXT03.7R14	small SUV	5	16	21	18	4	No	501
ACURA MDX	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXT03.7R14	small SUV	6	16	21	18	4	No	501
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXT03.5H13	small SUV	5	19	27	22	5	No	399
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXT03.5H13	small SUV	6	19	27	22	5	No	399
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXT03.5H13	small SUV	5	20	28	23	6	No	385
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXT03.5H13	small SUV	6	20	28	23	6	No	385
ACURA TL	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV03.5GB4	midsize car	5	20	29	23	6	No	383
ACURA TL	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV03.5GB4	midsize car	6	20	29	23	6	No	383
ACURA TL	3.7	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV03.7KB3	midsize car	5	17	25	20	5	No	441
ACURA TL	3.7	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV03.7KB3	midsize car	6	17	25	20	5	No	441
ACURA TL	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV03.7KB3	midsize car	5	18	26	21	5	No	419
ACURA TL	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV03.7KB3	midsize car	6	18	26	21	5	No	419
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV02.4DB3	small car	5	21	29	24	6	No	370
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV02.4DB3	small car	6	21	29	24	6	No	370
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV02.4DB3	small car	5	22	31	26	7	No	346
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV02.4DB3	small car	6	22	31	26	7	Yes	346
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV03.5GB4	small car	5	19	28	23	6	No	392
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV03.5GB4	small car	6	19	28	23	6	No	392
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV02.4DB3	station wagon	5	22	30	25	6	No	358
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV02.4DB3	station wagon	6	22	30	25	6	No	358
ACURA ZDX	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DHNXV03.7TB4	small SUV	5	16	23	19	4	No	472
ACURA ZDX	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DHNXV03.7TB4	small SUV	6	16	23	19	4	No	472
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DASXV05.9VH1	small car	5	13	19	15	3	No	588
