Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
ACURA MDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXT03.7M19	SUV	6	16	21	18	3	no
ACURA MDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXT03.7M19	SUV	5	16	21	18	3	no
ACURA RDX	2.3	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXT02.3X19	SUV	6	19	24	21	4	no
ACURA RDX	2.3	4	SemiAuto-5	4WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXT02.3X19	SUV	6	17	22	19	3	no
ACURA RDX	2.3	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXT02.3X19	SUV	5	19	24	21	4	no
ACURA RDX	2.3	4	SemiAuto-5	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXT02.3X19	SUV	5	17	22	19	3	no
ACURA RL	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV03.7PB9	midsize car	6	17	24	20	4	no
ACURA RL	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV03.7PB9	midsize car	5	17	24	20	4	no
ACURA TL	3.5	6	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV03.5EB9	midsize car	6	18	26	21	4	no
ACURA TL	3.7	6	SemiAuto-5	4WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV03.74B9	midsize car	6	17	25	20	4	no
ACURA TL	3.7	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV03.74B9	midsize car	6	17	25	20	4	no
ACURA TL	3.5	6	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV03.5EB9	midsize car	5	18	26	21	4	no
ACURA TL	3.7	6	SemiAuto-5	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV03.74B9	midsize car	5	17	25	20	4	no
ACURA TL	3.7	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV03.74B9	midsize car	5	17	25	20	4	no
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV02.4DB9	small car	6	21	29	24	5	no
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV02.4DB9	small car	6	22	31	26	6	yes
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV03.5EB9	small car	6	19	28	23	5	no
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV02.4DB9	small car	5	21	29	24	5	no
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV02.4DB9	small car	5	22	31	26	6	no
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV03.5EB9	small car	5	19	28	23	5	no
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV02.4DB9	station wagon	6	22	30	25	6	yes
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV02.4DB9	station wagon	5	22	30	25	6	no
ACURA ZDX	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	BHNXV03.7PB9	SUV	6	16	23	19	3	no
ACURA ZDX	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BHNXV03.7PB9	SUV	5	16	23	19	3	no
ASTON MARTIN DB9	5.9	12	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BASXV05.9VH1	small car	5	11	17	13	1	no
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	BASXV05.9VH1	small car	5	13	20	15	1	no
ASTON MARTIN DB9	5.9	12	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	BASXV05.9VH1	small car	5	11	17	13	1	no
